,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE,AFAMERPER,WHITESPER,ASIANPER,HISPANICPER,PERSENIORS,YEAR_x,POVERTY_RATE,YEAR_y,INCINEQUALITY,YEAR_x,UNEMP_RATE,YEAR_y,RURAL_POP,YEAR,CITIZENS
0,AL_AUTAUGA,18110,0.7282,5908,0.2375,24571.0,2017.0,0.11,2017.0,0.597,0.177,0.785,0.009000000000000001,0.024,0.12,2016.0,0.12266017070222353,2017.0,0.476790450928382,2017.0,0.052000000000000005,2017.0,0.42,2016.0,0.990245
1,AL_BALDWIN,72780,0.7658,18409,0.1937,26766.0,2017.0,0.161,2017.0,0.629,0.094,0.857,0.006999999999999999,0.044,0.168,2016.0,0.1299379576891782,2017.0,0.5001105216622458,2017.0,0.055,2017.0,0.423,2016.0,0.9806879999999999
2,AL_BARBOUR,5431,0.5211,4848,0.4651,16829.0,2017.0,0.153,2017.0,0.39299999999999996,0.469,0.48,0.004,0.051,0.142,2016.0,0.26373672856478153,2017.0,0.6148320070733864,2017.0,0.08900000000000001,2017.0,0.6779999999999999,2016.0,0.9801610000000001
3,AL_BIBB,6733,0.7639,1874,0.2126,17427.0,2017.0,0.136,2017.0,0.502,0.22,0.758,0.001,0.018000000000000002,0.127,2016.0,0.16453914478474008,2017.0,0.4722590627763042,2017.0,0.066,2017.0,0.684,2016.0,0.989943
4,AL_BLOUNT,22808,0.8934000000000001,2150,0.0842,20730.0,2017.0,0.165,2017.0,0.512,0.013,0.926,0.002,0.081,0.147,2016.0,0.1653444018284033,2017.0,0.4461759504862953,2017.0,0.054000000000000006,2017.0,0.9,2016.0,0.9691879999999999
5,AL_BULLOCK,1139,0.2419,3530,0.7495999999999999,18628.0,2017.0,0.17300000000000001,2017.0,0.336,0.7020000000000001,0.23,0.002,0.071,0.135,2016.0,0.2686625960212724,2017.0,0.6678824049513705,2017.0,0.078,2017.0,0.514,2016.0,0.992134
6,AL_BUTLER,4891,0.5614,3716,0.4265,17403.0,2017.0,0.14400000000000002,2017.0,0.433,0.434,0.544,0.008,0.009000000000000001,0.16699999999999998,2016.0,0.2565950843469991,2017.0,0.5382404951370469,2017.0,0.075,2017.0,0.7120000000000001,2016.0,0.9940829999999999
7,AL_CALHOUN,32803,0.6869,13197,0.2764,20828.0,2017.0,0.142,2017.0,0.54,0.206,0.7490000000000001,0.006999999999999999,0.033,0.14300000000000002,2016.0,0.19642381755257787,2017.0,0.5392351900972591,2017.0,0.07,2017.0,0.337,2016.0,0.984821
8,AL_CHAMBERS,7803,0.5638000000000001,5763,0.4164,19291.0,2017.0,0.149,2017.0,0.45,0.387,0.588,0.005,0.016,0.16699999999999998,2016.0,0.20311613885323698,2017.0,0.5268567639257294,2017.0,0.06,2017.0,0.491,2016.0,0.9916219999999999
9,AL_CHEROKEE,8937,0.8341,1545,0.1442,22030.0,2017.0,0.146,2017.0,0.526,0.046,0.927,0.002,0.012,0.179,2016.0,0.16446102493618692,2017.0,0.5341511936339522,2017.0,0.054000000000000006,2017.0,0.857,2016.0,0.9975290000000001
10,AL_CHILTON,15068,0.8210999999999999,2909,0.1585,20701.0,2017.0,0.177,2017.0,0.402,0.097,0.841,0.003,0.078,0.136,2016.0,0.20274358559848504,2017.0,0.491710875331565,2017.0,0.057,2017.0,0.867,2016.0,0.953169
11,AL_CHOCTAW,4102,0.5629,3109,0.4267,20323.0,2017.0,0.14300000000000002,2017.0,0.49700000000000005,0.434,0.5579999999999999,0.001,0.005,0.182,2016.0,0.20953326713008935,2017.0,0.7189434129089302,2017.0,0.091,2017.0,1.0,2016.0,0.999172
12,AL_CLARKE,7109,0.5484,5712,0.4407,18979.0,2017.0,0.151,2017.0,0.41100000000000003,0.439,0.545,0.003,0.01,0.162,2016.0,0.24635962041884815,2017.0,0.8937886825817859,2017.0,0.11800000000000001,2017.0,0.76,2016.0,0.998591
13,AL_CLAY,5230,0.7918000000000001,1234,0.1868,18694.0,2017.0,0.17800000000000002,2017.0,0.419,0.14800000000000002,0.8170000000000001,0.002,0.029,0.17600000000000002,2016.0,0.16748054326262782,2017.0,0.4941423519009726,2017.0,0.062,2017.0,1.0,2016.0,0.98398
14,AL_CLEBURNE,5738,0.8737999999999999,684,0.1042,19108.0,2017.0,0.14300000000000002,2017.0,0.48,0.033,0.94,0.002,0.021,0.158,2016.0,0.1961836208067364,2017.0,0.5238726790450928,2017.0,0.06,2017.0,1.0,2016.0,0.986859
15,AL_COFFEE,15825,0.7651,4194,0.2028,23380.0,2017.0,0.15,2017.0,0.608,0.16699999999999998,0.747,0.013,0.064,0.14400000000000002,2016.0,0.16354591582927072,2017.0,0.5604553492484526,2017.0,0.059000000000000004,2017.0,0.47200000000000003,2016.0,0.9815459999999999
16,AL_COLBERT,16718,0.6724,7296,0.2934,21572.0,2017.0,0.13,2017.0,0.5660000000000001,0.161,0.805,0.004,0.02,0.174,2016.0,0.1652754590984975,2017.0,0.5281830238726789,2017.0,0.079,2017.0,0.439,2016.0,0.9922209999999999
17,AL_CONECUH,3413,0.5196999999999999,3069,0.4673,15605.0,2017.0,0.166,2017.0,0.381,0.465,0.513,0.001,0.012,0.179,2016.0,0.3253842497227064,2017.0,0.6229000884173298,2017.0,0.092,2017.0,0.809,2016.0,0.9957469999999999
18,AL_COOSA,3376,0.6437,1780,0.3394,18493.0,2017.0,0.155,2017.0,0.425,0.31,0.6629999999999999,0.001,0.02,0.171,2016.0,0.15337715537772698,2017.0,0.4759062776304155,2017.0,0.067,2017.0,1.0,2016.0,0.989323
19,AL_COVINGTON,13222,0.8323999999999999,2379,0.14980000000000002,20391.0,2017.0,0.154,2017.0,0.522,0.125,0.848,0.004,0.013,0.184,2016.0,0.18994488869677975,2017.0,0.5095048629531388,2017.0,0.071,2017.0,0.6970000000000001,2016.0,0.9966870000000001
20,AL_CRENSHAW,4511,0.7203,1663,0.2655,21343.0,2017.0,0.163,2017.0,0.445,0.234,0.726,0.014,0.015,0.159,2016.0,0.18181818181818185,2017.0,0.6194739168877099,2017.0,0.06,2017.0,1.0,2016.0,0.9848879999999999
21,AL_CULLMAN,32734,0.872,3730,0.0994,20760.0,2017.0,0.16399999999999998,2017.0,0.546,0.011,0.947,0.004,0.043,0.159,2016.0,0.17120535157127525,2017.0,0.5089522546419099,2017.0,0.053,2017.0,0.732,2016.0,0.981209
22,AL_DALE,13789,0.7365999999999999,4408,0.2353,22685.0,2017.0,0.138,2017.0,0.612,0.193,0.741,0.011,0.056,0.135,2016.0,0.20474574868633372,2017.0,0.5671971706454465,2017.0,0.064,2017.0,0.509,2016.0,0.988711
23,AL_DALLAS,5784,0.308,12826,0.6831,17245.0,2017.0,0.14300000000000002,2017.0,0.473,0.6940000000000001,0.29100000000000004,0.003,0.006999999999999999,0.141,2016.0,0.3430003667930065,2017.0,0.7537577365163572,2017.0,0.096,2017.0,0.456,2016.0,0.989934
24,AL_DEKALB,21779,0.8288,3682,0.1401,18149.0,2017.0,0.209,2017.0,0.41600000000000004,0.015,0.845,0.003,0.136,0.139,2016.0,0.19786614936954414,2017.0,0.5001105216622458,2017.0,0.06,2017.0,0.9009999999999999,2016.0,0.941399
25,AL_ELMORE,27619,0.7417,8436,0.2265,23856.0,2017.0,0.115,2017.0,0.5329999999999999,0.2,0.762,0.006999999999999999,0.027000000000000003,0.119,2016.0,0.14296964208371069,2017.0,0.4646330680813439,2017.0,0.051,2017.0,0.542,2016.0,0.987203
26,AL_ESCAMBIA,10282,0.6722,4698,0.3071,16540.0,2017.0,0.17,2017.0,0.396,0.319,0.621,0.002,0.019,0.152,2016.0,0.2520260697081326,2017.0,0.5844385499557914,2017.0,0.07,2017.0,0.635,2016.0,0.9964879999999999
27,AL_ETOWAH,32132,0.7329000000000001,10350,0.2361,20204.0,2017.0,0.146,2017.0,0.531,0.151,0.8029999999999999,0.006,0.033,0.158,2016.0,0.18376886741498,2017.0,0.5145888594164456,2017.0,0.061,2017.0,0.375,2016.0,0.9812799999999999
28,AL_FAYETTE,6705,0.8140000000000001,1358,0.1649,18494.0,2017.0,0.146,2017.0,0.505,0.114,0.865,0.002,0.012,0.179,2016.0,0.1730118443316413,2017.0,0.5891909814323608,2017.0,0.07,2017.0,0.802,2016.0,0.9986299999999999
29,AL_FRANKLIN,9466,0.7862,2197,0.1825,18888.0,2017.0,0.19899999999999998,2017.0,0.40299999999999997,0.039,0.83,0.002,0.149,0.152,2016.0,0.2228527459844186,2017.0,0.4892793987621573,2017.0,0.064,2017.0,0.7040000000000001,2016.0,0.929243
30,AL_GENEVA,9967,0.8501000000000001,1522,0.1298,20199.0,2017.0,0.172,2017.0,0.47,0.095,0.863,0.003,0.034,0.174,2016.0,0.2276807696678156,2017.0,0.5328249336870026,2017.0,0.059000000000000004,2017.0,0.8959999999999999,2016.0,0.987484
31,AL_GREENE,838,0.172,4006,0.8220999999999999,14930.0,2017.0,0.151,2017.0,0.45399999999999996,0.815,0.174,0.002,0.008,0.161,2016.0,0.3788375908132177,2017.0,0.5341511936339522,2017.0,0.11,2017.0,1.0,2016.0,0.999767
32,AL_HALE,3172,0.3947,4772,0.5938,18812.0,2017.0,0.14,2017.0,0.48,0.59,0.398,0.002,0.009000000000000001,0.15,2016.0,0.25911746927261736,2017.0,0.6254420866489832,2017.0,0.078,2017.0,0.892,2016.0,0.9981530000000001
33,AL_HENRY,5623,0.6979000000000001,2286,0.2837,21924.0,2017.0,0.151,2017.0,0.5760000000000001,0.28600000000000003,0.6859999999999999,0.003,0.022,0.17600000000000002,2016.0,0.152809785499025,2017.0,0.5943854995579133,2017.0,0.068,2017.0,0.878,2016.0,0.9862110000000001
